,Category,Sort,Large size,Image,Text,Link
0,A Livable and Sustainable City,3,,http://data.lacity.org/views/kxz5-hjdi/files/tZ_7OKwN4J8SxpW_uJYPP7sOK41CSwx_7ENgZW73Kpo,<p><span>Solar Incentive Program</span></p>,https://data.lacity.org/A-Livable-and-Sustainable-City/LADWP-Solar-Incentive-Program/2yrw-q8tw
1,A Safe City,2,,http://data.lacity.org/views/kxz5-hjdi/files/PQ_E1jHR6iSUAqheMYg3B-o2MdLMx98cBGrK42rGEa0,<p>Port of LA Tsunami Evacuation Routes</p>,https://data.lacity.org/A-Safe-City/Port-of-Los-Angeles-Tsunami-Evacuation-Routes-Sign/xsnc-uga6
2,A Well Run City,5,,http://data.lacity.org/views/kxz5-hjdi/files/RC1z-pQJXXbtYXAXJ9eAtYne_vR5nsWi76J52SKa8a0,<p>Library Usage</p>,https://data.lacity.org/A-Well-Run-City/Library-Monthly-Stats/m4ev-cuzz
3,A Livable and Sustainable City,5,,http://data.lacity.org/views/kxz5-hjdi/files/2Sre_cthotLAy2mvZ8JyFsQAnVKd0bfJizAN38znt7Q,<p>Water Use by Zip Code</p>,https://data.lacity.org/A-Livable-and-Sustainable-City/Water-Use-Average-By-Zipcode/pzbs-vimf
4,A Livable and Sustainable City,1,True,http://data.lacity.org/views/kxz5-hjdi/files/PSq-PyoDebiDmwRD4Ri_v7_vpFLjf202ucqut_hdG4U,"<p><span style=""color:#000000;""><span style=""font-size:1.0em;"">Greenhouse Gas Emissions</span></span></p>",https://performance.lacity.org/en/stat/goals/yn4r-yz4i/jeid-b9sx/u8rc-u5tn
5,A Livable and Sustainable City,2,,http://data.lacity.org/views/kxz5-hjdi/files/rInnkOTDzHne7t9TaRq0_xmB7FdyuAJ3x6Gbc355GH0,<p><span>Air Quality Measurements</span></p>,https://performance.lacity.org/en/stat/goals/yn4r-yz4i/6bka-tmpz/cgy3-qtq2
6,A Well Run City,1,True,http://data.lacity.org/views/kxz5-hjdi/files/SXhnYQunvvtVcPlEWmU6ViX2K4Ui14q3yKthdf1kxBg,"<p><span style=""font-size:2.2em;"">311 App Adoption&nbsp;</span></p>
<p><span style=""font-size:2.2em;""></span></p>
<p>Increased use of the MyLA311 app allows for more efficient management and delivery of city services</p>",https://data.lacity.org/dataset/ITA-Monthly-Downloads-My-LA-311-App/tsrc-szkh
7,A Well Run City,2,,http://data.lacity.org/views/kxz5-hjdi/files/plJwI2YonTIRHENdQMA6GTgmfcl8FQBvrjtlv55BPAo,<p>LADWP Call Wait Time</p>,https://data.lacity.org/A-Well-Run-City/LADWP-Call-Wait-Times/2ep2-m9eh
8,A Well Run City,3,,http://data.lacity.org/views/kxz5-hjdi/files/u7W6BfB9V8BwdiqSFwCUd0h0i081AHAlGySNm8YexZ8,<p>Neighborhood Council Office Map</p>,https://data.lacity.org/A-Well-Run-City/Neighborhood-Council-Office-Location-Map-with-Neig/4qre-xwjy
9,A Prosperous City,1,True,http://data.lacity.org/views/kxz5-hjdi/files/Vjk7vAld3V4cvKmTzBAXNtQq01kauhsJmianzUiPdtY,"<p><span style=""font-size:2.2em;"">LA County Employment</span></p>
<p>&nbsp;</p>
<p>Overall employment is an important measure of our region's economic health.</p>",https://data.lacity.org/A-Prosperous-City/CA-EDD-Employment-State-County-GOVSTAT/ecai-dcsz
10,A Prosperous City,2,,http://data.lacity.org/views/kxz5-hjdi/files/g5O6PFwZpmRAD7_3J7gaWVCMT0oJj5dTS0na7OVtofk,<p>Tourism</p>,https://data.lacity.org/A-Prosperous-City/Los-Angeles-International-Airport-Flight-Operation/ajiv-uc63
11,A Prosperous City,3,,http://data.lacity.org/views/kxz5-hjdi/files/abAoXG6w1oPw00RVojqDh1rbjkt_1wVMP9AhcOTSLmM,"<p><span>POLA Quarterly Financials</span></p>
<p><span></span></p>",https://data.lacity.org/A-Well-Run-City/POLA-Quarterly-Financial-Statement/v7gk-cxxi
12,A Prosperous City,4,,http://data.lacity.org/views/kxz5-hjdi/files/oXuKXQ39JxWZCTk3t71jqoUFljFExzho1-fL8J1WOJE,<p><span>TEU Count</span></p>,https://data.lacity.org/A-Prosperous-City/Harbor-Port-TEU-Counts-Monthly-And-Calendar-YTD/tsuv-4rgh
13,A Prosperous City,5,,http://data.lacity.org/views/kxz5-hjdi/files/oXn2BAMt7ljWP9CK5vAdXEhhB2cHiJznqotOKR8pyBc,<p><span>Building Permit Valuation</span></p>,https://data.lacity.org/A-Prosperous-City/LADBS-Permit-Valuation-Quarterly/55x4-9gk6
14,A Safe City,3,,http://data.lacity.org/views/kxz5-hjdi/files/U8_sk27Noc8r6NLG8eJy1IdbfNufL52zKBrjrw6aRVo,<p><span>Crime &amp; Collision Map</span></p>,https://data.lacity.org/A-Safe-City/LAPD-Crime-and-Collision-Raw-Data-for-2015/ttiz-7an8
15,A Safe City,4,,http://data.lacity.org/views/kxz5-hjdi/files/vYiTSrJ-hEJ2pYhRZU6CKSBatROzvRbM6Dk9zlunN5c,<p><span>Building Inspections</span></p>,https://data.lacity.org/A-Safe-City/Building-and-Safety-Inspections/9w5z-rg2h
16,A Safe City,5,,http://data.lacity.org/views/kxz5-hjdi/files/fhT-DA63XVisjNpALo9GSMaek84uSJf9Q_CtfAeJy0g,<p><span>LAFD Call Processing Time</span></p>,http://www.lafd.org/fsla/stations-map
