,OBJECTID,NAME,TOOLTIP,DIST_TYPE
0,1,Windsor Village,District: Windsor Village,HPOZ
1,2,Pico - Union,District: Pico - Union,HPOZ
2,3,Angelino Heights,District: Angelino Heights,HPOZ
3,4,Stonehurst,District: Stonehurst,HPOZ
4,5,Van Nuys,District: Van Nuys,HPOZ
5,6,Jefferson Park,District: Jefferson Park,HPOZ
6,7,Balboa Highlands,District: Balboa Highlands,HPOZ
7,8,Hollywood Grove,District: Hollywood Grove,HPOZ
8,9,West Adams Terrace,District: West Adams Terrace,HPOZ
9,10,Whitley Heights,District: Whitley Heights,HPOZ
10,11,Spaulding Square,District: Spaulding Square,HPOZ
11,12,Adams - Normandie,District: Adams - Normandie,HPOZ
12,13,Vinegar Hill,District: Vinegar Hill,HPOZ
13,14,Lincoln Heights,District: Lincoln Heights,HPOZ
14,15,Banning Park,District: Banning Park,HPOZ
15,16,52nd Place Tifal Brothers Tract,District: 52nd Place Tifal Brothers Tract,HPOZ
16,17,Windsor Square,District: Windsor Square,HPOZ
17,18,Wilshire Park,District: Wilshire Park,HPOZ
18,19,Hancock Park,District: Hancock Park,HPOZ
19,20,Carthay Circle,District: Carthay Circle,HPOZ
20,21,Melrose Hill,District: Melrose Hill,HPOZ
21,22,Carthay Square,District: Carthay Square,HPOZ
22,23,El Sereno-Berkshire Craftsman,District: El Sereno-Berkshire Craftsman,HPOZ
23,24,Oxford Square,District: Oxford Square,HPOZ
24,25,Country Club Park,District: Country Club Park,HPOZ
25,26,Highland Park - Garvanza,District: Highland Park - Garvanza,HPOZ
26,27,La Fayette Square,District: La Fayette Square,HPOZ
27,28,University Park,District: University Park,HPOZ
28,29,Gregory Ain Mar Vista Tract,District: Gregory Ain Mar Vista Tract,HPOZ
29,30,Western Heights,District: Western Heights,HPOZ
30,31,South Carthay,District: South Carthay,HPOZ
31,32,Harvard Heights,District: Harvard Heights,HPOZ
32,33,Miracle Mile North,District: Miracle Mile North,HPOZ
33,34,Miracle Mile,District: Miracle Mile,HPOZ
34,35,Sunset Square,District: Sunset Square,HPOZ
